x,y,class
3.745071229516849,1.7565074836168915,1
2.792603548243223,2.1597284397045455,1
3.9715328071510387,4.120940407684893,1
5.284544784612038,3.915555398150197,1
2.648769937914996,2.968647609053778,1
2.648794564576229,3.175991074963173,1
5.368819223261087,4.916497343682638,1
4.151152093729364,2.112642916746255,1
2.295788421097572,3.820646071755057,1
3.813840065378947,2.696711021349159,1
2.3048734607813066,2.6734781951591695,1
2.301405369644615,4.648165277980786,1
3.362943407349051,4.238124523482044,1
0.1300796330133034,4.220264454000958,1
0.4126232512304506,4.958218210731493,1
2.156568706138541,3.0315057624491386,1
1.4807533194983642,4.022929456942446,1
3.471370998892911,2.534599865109816,1
1.6379638867181836,3.486249528732663,1
0.8815444479970629,2.804785418448473,1
5.198473153382331,3.1454939474890775,1
2.6613355492701967,3.8927355381553705,1
3.1012923070318856,1.7726689751497913,1
0.8628777206798146,6.13858091352819,1
2.183425913212226,1.490973927750447,1
3.166383884564799,1.1787170808184018,1
1.2735096338665457,4.737166310250101,1
3.563547027518508,4.187494040944404,1
2.0990419651217924,3.9361797255782327,1
2.562459375310085,3.94251826389642,1
2.097440081655905,2.981629840729628,1
5.778417276763406,1.6541184427712528,1
2.9797541628930992,3.1137068372905894,1
1.4134336065661495,1.9842574327318325,1
4.233817368154783,4.462679600126627,1
1.1687345250434666,2.779413927746792,1
3.313295392507133,1.7617542048112327,1
0.06049481418033675,2.51792123752051,1
1.0077209266523544,3.6193971814134365,1
3.2952918538036853,2.154413170794038,1
4.107699869993116,1.7666694066503528,1
3.2570524217849557,3.3655308172378686,1
2.8265275764176394,3.367449856663084,1
2.548344456616067,2.2395852369433054,1
0.7822170144488592,2.293442541572516,1
1.920233687407937,3.3480749060364543,1
2.3090418435603186,0.8278734877540139,1
4.585683339328374,0.8888043384351674,1
3.5154274343526923,1.9223336681213459,1
0.3554397669558993,2.679829272432229,1
3.4861259540921923,3.466361348397007,1
2.422376579375525,5.213034325424328,1
1.9846169995410619,4.286489434803029,1
3.917514433261302,2.7600922050548595,1
4.546499283743927,2.9714756881459667,1
