x,y,z
0.1,0.0,0.0
0.09000000000000001,0.028000000000000004,0.0
0.08380000000000001,0.05292000000000001,2.5200000000000006e-05
0.080712,0.07585477888240001,6.887487600000003e-05
0.08022627788824001,0.0976955355032861,0.00012826189218864275
0.08197320364974461,0.11918183505721838,0.00020321863932124212
0.08569406679049199,0.14094234714374562,0.00029549596657550096
0.09121889482581735,0.16352700915113497,0.0004083943182443808
0.09844970625834912,0.18743265707806883,0.0005466699722661817
0.10734800134032109,0.213123710064644,0.0007166171844314201
0.11792557221275338,0.24104914406506273,0.0009262890472593703
0.13023792939798431,0.2716567205123237,0.0011858435008216324
0.14437980850941826,0.3054052291206147,0.0015080171425204392
0.1604823505705379,0.342775345939783,0.0019087418103115126
0.1787116501074624,0.3842795874464123,0.002407929598570961
0.1992684438413574,0.43047175035131857,0.003030462507928706
0.2223887744923535,0.48195615836790473,0.003807434430943973
0.24834551287990864,0.5393969863353141,0.0047777065488555075
0.2774506602254492,0.6035278948585027,0.005989853327370738
0.31005838368875455,0.6751621818854401,0.007504596068059431
0.3465687635084231,0.755203638870166,0.009397845439356012
0.3874322510445974,0.8446582862670872,0.011764504814691337
0.4331548545668464,0.9446471542110757,0.014723224083402814
0.4843040845312693,1.0564202675878158,0.018422340704091298
0.541515702836924,1.181371988432197,0.02304730338325714
0.6055013313964512,1.321057860575313,0.02882994662830283
0.6770569843143375,1.477213089049891,0.036060074886026985
0.7570725947878928,1.6517727665118416,0.04509992708143451
0.8465426119602877,1.8468939261991304,0.05640223096960362
0.946577743384172,2.0649794493667657,0.07053272755262632
1.0584179139824315,2.3087037759198514,0.08819825558196061
1.1834465001761734,2.581040247938834,0.11028174245071425
1.3232058749524396,2.885289740087408,0.13788575886192425
1.4794142614659365,3.2251099752112333,0.1723866690233133
1.6539838328404661,3.6045445557031863,0.21550185348169704
1.849039905126738,4.0280502175254265,0.26937300324820207
2.066940936366607,4.500520074461962,0.33666908117216204
2.310298850176143,5.027299584841155,0.42071320854575167
2.581998923642644,5.614190534622492,0.5256384317773317
2.885218084740629,6.2674363492454646,0.6565779939770302
3.2234399111911123,6.9936793424577335,0.8198962658757007
3.6004638543177743,7.7998768607020645,1.0234666836503066
4.020405154956204,8.693158423298208,1.2770025742482267
4.487680481790404,9.680599605128963,1.5924451049718171
5.00697239412426,10.76888029581994,1.9844089730218701
5.583163184293828,11.963784953750803,2.470679649279368
6.221225361239526,13.269490719235161,3.0727442600189865
6.926051897039089,14.687576567999544,3.8163190925366632
7.7022043641351345,16.215675092584792,4.731807037855711
8.5535514369801,17.845682115444607,5.85457417881114
9.482764504826552,19.56144568284382,7.224872284486759
10.49063262262828,21.335887662854457,8.887150768503137
11.575158126650898,23.127587582819082,10.88840004899389
12.730401072267716,24.877006459319766,13.27506125327821
13.945061610972921,26.502780154830003,16.087958066698633
